record_id,event_timestamp_utc,source_system,depot_id,depot_name,region,product_code,tank_id,pipeline_segment,flow_rate_lpm,pressure_psi,temperature_c,inventory_litres,pump_status,valve_status,api_weather_condition,api_temperature_c,scraped_market_price_usd_bbl,operator_shift,incident_flag,maintenance_required,ingested_at_utc,batch_id,quality_issue_type,missing_record_flag,null_record_flag,source_url,d_depot_name,source
OPS-00012,"2026-03-01 02:45:00+00:00",WEB_SCRAPE,DPT005,"Nakuru Depot","Rift Valley",IK,T09,Mombasa-Nairobi,1271.46,87.09,17.2,1833593.79,RUNNING,OPEN,"Light Rain",20.6,94.49,Day,0,0,2026-03-01T02:47:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/ik,"Nakuru Depot",SQLite
OPS-00013,"2026-03-01 03:00:00+00:00",API,DPT005,"Nakuru Depot","Rift Valley",AGO,T02,Nairobi-Eldoret,569.23,175.1,28.3,2870484.9,IDLE,OPEN,"Light Rain",19.5,88.24,Day,0,1,2026-03-01T03:07:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/ago,"Nakuru Depot",SQLite
OPS-00014,"2026-03-01 03:15:00+00:00",API,DPT003,"Eldoret Depot","Rift Valley",IK,T18,Nairobi-Eldoret,701.49,97.07,21.3,939292.96,RUNNING,OPEN,"Heavy Rain",28.9,113.87,Day,0,0,2026-03-01T03:25:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/ik,"Eldoret Depot",SQLite
OPS-00015,"2026-03-01 03:30:00+00:00",SQL_DB,DPT002,"Mombasa Terminal",Coast,IK,T01,Nairobi-Eldoret,775.04,74.26,37.6,1069172.63,RUNNING,OPEN,"Light Rain",31.3,72.25,Day,0,0,2026-03-01T04:00:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/ik,"Mombasa Terminal",SQLite
OPS-00016,"2026-03-01 03:45:00+00:00",WEB_SCRAPE,DPT006,"Morendat Training Hub",Central,AGO,T11,Eldoret-Kisumu,1040.4,165.89,17.0,1616522.28,ALARM,OPEN,"Light Rain",33.0,100.37,Day,0,0,2026-03-01T04:17:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/ago,"Morendat Training Hub",SQLite
OPS-00017,"2026-03-01 04:00:00+00:00",API,DPT005,"Nakuru Depot","Rift Valley",AGO,T01,Mombasa-Nairobi,1003.03,120.44,35.0,2482547.63,RUNNING,PARTIAL,"Light Rain",25.0,85.79,Day,0,0,2026-03-01T04:22:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/ago,"Nakuru Depot",SQLite
OPS-00018,"2026-03-01 04:15:00+00:00",SCADA,DPT004,"Kisumu Depot",Nyanza,IK,T01,Eldoret-Kisumu,442.84,178.17,27.3,1144870.4,RUNNING,OPEN,Clear,28.6,84.59,Day,0,0,2026-03-01T04:52:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/ik,"Kisumu Depot",SQLite
OPS-00019,"2026-03-01 04:30:00+00:00",SCADA,DPT003,"Eldoret Depot","Rift Valley",JET-A1,T09,Mombasa-Nairobi,1151.38,92.14,23.8,2335703.66,RUNNING,OPEN,"Heavy Rain",33.4,111.43,Day,0,0,2026-03-01T04:41:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/jet-a1,"Eldoret Depot",SQLite
OPS-00020,"2026-03-01 04:45:00+00:00",API,DPT001,"Nairobi Terminal",Central,JET-A1,T16,Nairobi-Morendat,609.08,167.56,26.1,2778562.92,RUNNING,OPEN,Cloudy,32.1,74.69,Day,0,0,2026-03-01T05:09:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt001/jet-a1,"Nairobi Terminal",SQLite
OPS-00021,"2026-03-01 05:00:00+00:00",WEB_SCRAPE,DPT002,"Mombasa Terminal",Coast,JET-A1,T05,Nairobi-Morendat,442.75,148.44,27.9,474670.7,RUNNING,OPEN,Windy,18.7,84.49,Day,0,0,2026-03-01T05:14:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/jet-a1,"Mombasa Terminal",SQLite
OPS-00022,"2026-03-01 05:15:00+00:00",WEB_SCRAPE,DPT003,"Eldoret Depot","Rift Valley",PMS,T13,Nairobi-Morendat,725.09,78.56,30.9,1449038.15,RUNNING,OPEN,Cloudy,21.0,92.77,Day,0,0,2026-03-01T05:50:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/pms,"Eldoret Depot",SQLite
OPS-00023,"2026-03-01 05:30:00+00:00",API,DPT006,"Morendat Training Hub",Central,IK,T04,Mombasa-Nairobi,734.63,125.35,28.7,1943116.71,RUNNING,OPEN,"Light Rain",24.7,88.27,Day,0,0,2026-03-01T06:01:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/ik,"Morendat Training Hub",SQLite
OPS-00025,"2026-03-01 06:00:00+00:00",SQL_DB,DPT001,"Nairobi Terminal",Central,AGO,T11,Eldoret-Kisumu,1127.87,90.54,18.7,866373.89,RUNNING,OPEN,"Light Rain",22.8,111.14,Day,0,0,2026-03-01T06:30:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt001/ago,"Nairobi Terminal",SQLite
OPS-00026,"2026-03-01 06:15:00+00:00",SQL_DB,DPT003,"Eldoret Depot","Rift Valley",PMS,T02,Eldoret-Kisumu,427.46,84.95,32.3,2267624.17,STOPPED,OPEN,Clear,25.3,74.86,Day,0,0,2026-03-01T06:37:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/pms,"Eldoret Depot",SQLite
OPS-00029,"2026-03-01 07:00:00+00:00",SQL_DB,DPT003,"Eldoret Depot","Rift Valley",IK,T07,Nairobi-Eldoret,995.03,106.12,28.3,2594700.86,RUNNING,OPEN,Clear,28.1,106.27,Day,0,0,2026-03-01T07:16:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/ik,"Eldoret Depot",SQLite
OPS-00030,"2026-03-01 07:15:00+00:00",SQL_DB,DPT006,"Morendat Training Hub",Central,AGO,T13,Eldoret-Kisumu,1248.9,84.04,27.5,1022480.78,RUNNING,OPEN,Clear,29.3,91.38,Day,0,0,2026-03-01T07:25:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/ago,"Morendat Training Hub",SQLite
OPS-00031,"2026-03-01 07:30:00+00:00",WEB_SCRAPE,DPT006,"Morendat Training Hub",Central,JET-A1,T15,Eldoret-Kisumu,741.59,150.06,37.1,1453976.53,RUNNING,OPEN,Clear,23.9,92.73,Day,0,0,2026-03-01T07:57:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/jet-a1,"Morendat Training Hub",SQLite
OPS-00032,"2026-03-01 07:45:00+00:00",SCADA,DPT006,"Morendat Training Hub",Central,IK,T03,Nairobi-Eldoret,663.9,126.65,23.8,236285.74,RUNNING,OPEN,"Heavy Rain",24.8,78.82,Day,0,0,2026-03-01T08:02:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/ik,"Morendat Training Hub",SQLite
OPS-00033,"2026-03-01 08:00:00+00:00",SCADA,DPT002,"Mombasa Terminal",Coast,JET-A1,T04,Mombasa-Nairobi,738.09,121.62,24.7,374850.36,ALARM,OPEN,"Light Rain",21.7,107.79,Evening,0,1,2026-03-01T08:02:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/jet-a1,"Mombasa Terminal",SQLite
OPS-00034,"2026-03-01 08:15:00+00:00",SCADA,DPT006,"Morendat Training Hub",Central,AGO,T13,Mombasa-Nairobi,878.22,75.0,30.3,1802359.27,RUNNING,CLOSED,Cloudy,16.8,82.49,Evening,0,0,2026-03-01T08:45:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/ago,"Morendat Training Hub",SQLite
OPS-00035,"2026-03-01 08:30:00+00:00",WEB_SCRAPE,DPT001,"Nairobi Terminal",Central,PMS,T18,Nairobi-Morendat,1070.35,149.5,18.2,2400050.17,RUNNING,OPEN,Windy,22.7,115.16,Evening,0,0,2026-03-01T08:43:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt001/pms,"Nairobi Terminal",SQLite
OPS-00036,"2026-03-01 08:45:00+00:00",API,DPT006,"Morendat Training Hub",Central,PMS,T11,Mombasa-Nairobi,711.29,77.43,32.3,932071.8,ALARM,CLOSED,Windy,25.0,81.21,Evening,0,0,2026-03-01T09:03:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/pms,"Morendat Training Hub",SQLite
OPS-00037,"2026-03-01 09:00:00+00:00",WEB_SCRAPE,DPT006,"Morendat Training Hub",Central,AGO,T06,Mombasa-Nairobi,826.78,88.95,24.5,1945372.52,ALARM,OPEN,"Heavy Rain",26.4,93.57,Evening,1,0,2026-03-01T09:05:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/ago,"Morendat Training Hub",SQLite
OPS-00039,"2026-03-01 09:30:00+00:00",SCADA,DPT005,"Nakuru Depot","Rift Valley",AGO,T08,Eldoret-Kisumu,1297.57,68.21,18.4,2462467.29,RUNNING,OPEN,"Heavy Rain",23.1,77.08,Evening,0,0,2026-03-01T09:52:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/ago,"Nakuru Depot",SQLite
OPS-00040,"2026-03-01 09:45:00+00:00",SCADA,DPT001,"Nairobi Terminal",Central,JET-A1,T07,Nairobi-Eldoret,1227.51,134.64,25.2,2776458.31,RUNNING,OPEN,Clear,18.4,83.65,Evening,0,0,2026-03-01T10:03:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt001/jet-a1,"Nairobi Terminal",SQLite
OPS-00041,"2026-03-01 10:00:00+00:00",SQL_DB,DPT006,"Morendat Training Hub",Central,AGO,T03,Eldoret-Kisumu,910.69,163.75,18.7,2490940.74,IDLE,OPEN,Windy,33.9,84.95,Evening,0,0,2026-03-01T10:08:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/ago,"Morendat Training Hub",SQLite
OPS-00043,"2026-03-01 10:30:00+00:00",WEB_SCRAPE,DPT004,"Kisumu Depot",Nyanza,PMS,T16,Eldoret-Kisumu,1179.02,104.43,30.5,2524338.26,RUNNING,PARTIAL,Windy,28.4,92.2,Evening,1,0,2026-03-01T10:56:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/pms,"Kisumu Depot",SQLite
OPS-00044,"2026-03-01 10:45:00+00:00",WEB_SCRAPE,DPT002,"Mombasa Terminal",Coast,JET-A1,T01,Eldoret-Kisumu,1186.92,178.6,25.6,2675659.06,RUNNING,OPEN,"Heavy Rain",23.7,75.43,Evening,1,1,2026-03-01T10:49:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/jet-a1,"Mombasa Terminal",SQLite
OPS-00045,"2026-03-01 11:00:00+00:00",WEB_SCRAPE,DPT004,"Kisumu Depot",Nyanza,PMS,T15,Eldoret-Kisumu,650.73,130.33,27.0,458797.55,IDLE,OPEN,"Light Rain",30.9,78.03,Evening,0,0,2026-03-01T11:12:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/pms,"Kisumu Depot",SQLite
OPS-00046,"2026-03-01 11:15:00+00:00",SCADA,DPT003,"Eldoret Depot","Rift Valley",PMS,T15,Eldoret-Kisumu,1209.34,146.01,23.2,2867242.16,RUNNING,OPEN,"Heavy Rain",28.5,91.39,Evening,0,0,2026-03-01T11:30:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/pms,"Eldoret Depot",SQLite
OPS-00047,"2026-03-01 11:30:00+00:00",WEB_SCRAPE,DPT006,"Morendat Training Hub",Central,PMS,T17,Nairobi-Morendat,1034.69,132.75,35.0,1643323.69,RUNNING,OPEN,Clear,20.1,98.16,Evening,0,0,2026-03-01T11:33:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/pms,"Morendat Training Hub",SQLite
OPS-00048,"2026-03-01 11:45:00+00:00",SQL_DB,DPT005,"Nakuru Depot","Rift Valley",IK,T11,Nairobi-Eldoret,620.09,130.42,25.8,2423193.07,RUNNING,OPEN,"Light Rain",21.9,96.24,Evening,0,1,2026-03-01T12:04:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/ik,"Nakuru Depot",SQLite
OPS-00049,"2026-03-01 12:00:00+00:00",WEB_SCRAPE,DPT001,"Nairobi Terminal",Central,AGO,T16,Eldoret-Kisumu,864.96,98.04,34.2,1377350.75,IDLE,OPEN,"Light Rain",24.9,74.99,Evening,0,0,2026-03-01T12:40:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt001/ago,"Nairobi Terminal",SQLite
OPS-00052,"2026-03-01 12:45:00+00:00",WEB_SCRAPE,DPT006,"Morendat Training Hub",Central,JET-A1,T09,Eldoret-Kisumu,1130.82,74.73,21.4,370698.33,RUNNING,OPEN,Cloudy,26.3,97.05,Evening,0,0,2026-03-01T12:47:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/jet-a1,"Morendat Training Hub",SQLite
OPS-00053,"2026-03-01 13:00:00+00:00",SCADA,DPT003,"Eldoret Depot","Rift Valley",JET-A1,T05,Nairobi-Eldoret,754.92,96.35,26.7,454425.64,RUNNING,OPEN,Windy,24.0,104.31,Evening,0,0,2026-03-01T13:05:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/jet-a1,"Eldoret Depot",SQLite
OPS-00054,"2026-03-01 13:15:00+00:00",API,DPT005,"Nakuru Depot","Rift Valley",AGO,T12,Nairobi-Eldoret,1183.54,172.77,29.2,1543416.36,RUNNING,OPEN,"Heavy Rain",32.6,113.24,Evening,0,0,2026-03-01T13:35:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/ago,"Nakuru Depot",SQLite
OPS-00055,"2026-03-01 13:30:00+00:00",WEB_SCRAPE,DPT003,"Eldoret Depot","Rift Valley",PMS,T06,Mombasa-Nairobi,1192.44,159.79,18.8,1205891.38,STOPPED,OPEN,Cloudy,30.1,108.01,Evening,0,0,2026-03-01T13:35:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/pms,"Eldoret Depot",SQLite
OPS-00058,"2026-03-01 14:15:00+00:00",SCADA,DPT004,"Kisumu Depot",Nyanza,AGO,T15,Nairobi-Eldoret,1066.09,149.07,36.8,742853.21,RUNNING,PARTIAL,Windy,23.1,113.84,Evening,0,0,2026-03-01T14:27:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/ago,"Kisumu Depot",SQLite
OPS-00059,"2026-03-01 14:30:00+00:00",API,DPT001,"Nairobi Terminal",Central,AGO,T14,Nairobi-Morendat,782.97,77.92,31.3,2778411.06,RUNNING,OPEN,Cloudy,22.4,96.56,Evening,1,0,2026-03-01T14:58:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt001/ago,"Nairobi Terminal",SQLite
OPS-00061,"2026-03-01 15:00:00+00:00",API,DPT002,"Mombasa Terminal",Coast,AGO,T13,Eldoret-Kisumu,538.52,103.36,24.9,2801743.34,RUNNING,PARTIAL,"Heavy Rain",32.8,104.8,Evening,0,0,2026-03-01T15:12:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/ago,"Mombasa Terminal",SQLite
OPS-00062,"2026-03-01 15:15:00+00:00",SQL_DB,DPT004,"Kisumu Depot",Nyanza,JET-A1,T13,Mombasa-Nairobi,1295.01,182.77,35.7,244582.85,IDLE,OPEN,Windy,27.9,81.04,Evening,0,0,2026-03-01T15:52:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/jet-a1,"Kisumu Depot",SQLite
OPS-00068,"2026-03-01 16:45:00+00:00",API,DPT002,"Mombasa Terminal",Coast,IK,T12,Nairobi-Morendat,610.64,81.91,31.6,525575.4,RUNNING,OPEN,Cloudy,18.7,72.05,Night,0,0,2026-03-01T16:49:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/ik,"Mombasa Terminal",SQLite
OPS-00069,"2026-03-01 17:00:00+00:00",SQL_DB,DPT002,"Mombasa Terminal",Coast,PMS,T14,Nairobi-Morendat,516.08,165.55,24.2,831755.04,RUNNING,OPEN,"Light Rain",28.2,112.72,Night,0,0,2026-03-01T17:40:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/pms,"Mombasa Terminal",SQLite
OPS-00070,"2026-03-01 17:15:00+00:00",SCADA,DPT004,"Kisumu Depot",Nyanza,IK,T05,Mombasa-Nairobi,920.9,58.88,31.8,2206161.41,RUNNING,OPEN,Windy,30.0,81.42,Night,0,0,2026-03-01T17:31:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/ik,"Kisumu Depot",SQLite
OPS-00071,"2026-03-01 17:30:00+00:00",WEB_SCRAPE,DPT005,"Nakuru Depot","Rift Valley",PMS,T17,Eldoret-Kisumu,991.05,100.97,27.6,1151914.29,RUNNING,PARTIAL,Clear,28.6,80.43,Night,0,0,2026-03-01T17:56:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/pms,"Nakuru Depot",SQLite
OPS-00073,"2026-03-01 18:00:00+00:00",WEB_SCRAPE,DPT003,"Eldoret Depot","Rift Valley",IK,T14,Nairobi-Eldoret,519.84,144.69,32.5,749896.62,RUNNING,OPEN,Windy,24.2,115.69,Night,0,0,2026-03-01T18:16:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/ik,"Eldoret Depot",SQLite
OPS-00075,"2026-03-01 18:30:00+00:00",API,DPT004,"Kisumu Depot",Nyanza,JET-A1,T18,Nairobi-Morendat,739.01,50.13,34.6,680660.0,STOPPED,OPEN,Windy,32.2,73.34,Night,0,0,2026-03-01T18:51:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/jet-a1,"Kisumu Depot",SQLite
OPS-00076,"2026-03-01 18:45:00+00:00",WEB_SCRAPE,DPT002,"Mombasa Terminal",Coast,JET-A1,T07,Nairobi-Eldoret,982.74,68.72,20.9,2673061.24,STOPPED,OPEN,"Light Rain",20.0,102.72,Night,0,0,2026-03-01T19:04:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/jet-a1,"Mombasa Terminal",SQLite
OPS-00077,"2026-03-01 19:00:00+00:00",SQL_DB,DPT006,"Morendat Training Hub",Central,PMS,T14,Mombasa-Nairobi,842.97,132.85,18.8,1937554.02,RUNNING,OPEN,"Heavy Rain",33.6,81.62,Night,0,0,2026-03-01T19:10:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/pms,"Morendat Training Hub",SQLite
OPS-00078,"2026-03-01 19:15:00+00:00",SCADA,DPT002,"Mombasa Terminal",Coast,AGO,T04,Nairobi-Eldoret,861.74,107.79,28.1,1771055.14,STOPPED,OPEN,Windy,16.0,78.4,Night,0,0,2026-03-01T19:52:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/ago,"Mombasa Terminal",SQLite
OPS-00079,"2026-03-01 19:30:00+00:00",SCADA,DPT005,"Nakuru Depot","Rift Valley",IK,T15,Nairobi-Morendat,950.45,128.04,34.3,1219750.55,RUNNING,OPEN,Clear,27.6,98.71,Night,0,0,2026-03-01T19:32:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/ik,"Nakuru Depot",SQLite
OPS-00080,"2026-03-01 19:45:00+00:00",SQL_DB,DPT002,"Mombasa Terminal",Coast,JET-A1,T17,Mombasa-Nairobi,1012.76,126.94,27.8,2451695.64,RUNNING,OPEN,Windy,20.8,88.88,Night,0,0,2026-03-01T20:15:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/jet-a1,"Mombasa Terminal",SQLite
OPS-00081,"2026-03-01 20:00:00+00:00",SQL_DB,DPT003,"Eldoret Depot","Rift Valley",AGO,T08,Eldoret-Kisumu,1185.08,166.11,26.8,1435871.1,RUNNING,PARTIAL,Windy,25.5,111.56,Night,0,0,2026-03-01T20:20:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/ago,"Eldoret Depot",SQLite
OPS-00082,"2026-03-01 20:15:00+00:00",SQL_DB,DPT001,"Nairobi Terminal",Central,JET-A1,T11,Nairobi-Eldoret,1029.02,85.66,25.2,2571989.19,ALARM,PARTIAL,Clear,28.9,99.66,Night,0,0,2026-03-01T20:40:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt001/jet-a1,"Nairobi Terminal",SQLite
OPS-00084,"2026-03-01 20:45:00+00:00",API,DPT006,"Morendat Training Hub",Central,JET-A1,T07,Eldoret-Kisumu,987.44,124.95,19.6,2887366.24,RUNNING,OPEN,"Heavy Rain",30.3,91.32,Night,0,0,2026-03-01T20:51:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/jet-a1,"Morendat Training Hub",SQLite
OPS-00085,"2026-03-01 21:00:00+00:00",SQL_DB,DPT004,"Kisumu Depot",Nyanza,AGO,T07,Nairobi-Morendat,931.49,184.61,20.4,1385369.59,RUNNING,OPEN,Cloudy,28.0,114.96,Night,0,0,2026-03-01T21:32:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/ago,"Kisumu Depot",SQLite
OPS-00086,"2026-03-01 21:15:00+00:00",WEB_SCRAPE,DPT002,"Mombasa Terminal",Coast,IK,T18,Nairobi-Eldoret,1271.06,94.57,34.6,2500288.78,RUNNING,OPEN,"Light Rain",22.7,88.2,Night,0,0,2026-03-01T21:42:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/ik,"Mombasa Terminal",SQLite
OPS-00087,"2026-03-01 21:30:00+00:00",API,DPT004,"Kisumu Depot",Nyanza,AGO,T01,Mombasa-Nairobi,620.0,55.64,25.8,2577017.12,RUNNING,OPEN,Clear,32.6,72.92,Night,0,0,2026-03-01T22:08:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/ago,"Kisumu Depot",SQLite
OPS-00088,"2026-03-01 21:45:00+00:00",API,DPT005,"Nakuru Depot","Rift Valley",JET-A1,T07,Nairobi-Eldoret,953.0,134.32,18.9,623710.34,RUNNING,CLOSED,Windy,30.9,77.98,Night,0,1,2026-03-01T22:22:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/jet-a1,"Nakuru Depot",SQLite
OPS-00089,"2026-03-01 22:00:00+00:00",WEB_SCRAPE,DPT003,"Eldoret Depot","Rift Valley",IK,T13,Nairobi-Morendat,985.34,75.37,36.6,1070476.16,RUNNING,OPEN,Windy,31.2,82.68,Night,0,0,2026-03-01T22:04:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/ik,"Eldoret Depot",SQLite
OPS-00090,"2026-03-01 22:15:00+00:00",WEB_SCRAPE,DPT003,"Eldoret Depot","Rift Valley",AGO,T06,Eldoret-Kisumu,919.13,139.1,21.8,1497851.22,RUNNING,OPEN,Cloudy,26.7,91.37,Night,0,1,2026-03-01T22:40:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt003/ago,"Eldoret Depot",SQLite
OPS-00091,"2026-03-01 22:30:00+00:00",WEB_SCRAPE,DPT004,"Kisumu Depot",Nyanza,PMS,T01,Nairobi-Morendat,1110.08,182.4,17.8,2473906.33,RUNNING,OPEN,"Heavy Rain",17.3,81.41,Night,0,0,2026-03-01T22:51:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt004/pms,"Kisumu Depot",SQLite
